"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"1"	0.688804927495974	0.0468432234133322	14.7044732899387	2.6697133195074e-16
"2"	0.556447486447596	0.0387759258206142	14.3503339938765	6.68385204889789e-21
"3.1"	0.0861625822225447	0.025897956983671	3.32700306347993	0.0104308015822922
"3.2"	0.0854151960584585	0.0227059155474649	3.7618036533213	0.00371114607387242
"3.3"	0.0405673794371907	0.0127600453840608	3.17925040359696	0.0130121482630582
"4"	5.2105431091655	1.70597672006011	3.05428734630206	0.013697581033447
"5"	0.248917213266596	0.100696130486487	2.47196403738672	0.0483288471724237
"6"	0.165286811369908	0.021177472065657	7.80484143043442	4.87262609923047e-08
"7.1"	20.3551873419988	9.44080914702565	2.15608503730973	0.0973151874736165
"7.2"	1.62281992518639	0.0921700054963315	17.6068116351689	1.16934946455354e-18
"7.3"	3.44919885609037	0.378593349405475	9.11056377907016	3.67082677429441e-08
"8"	1.09671825316837	0.0737217109105408	14.8764623015763	1.57193435688122e-14
"9"	0.0312959946346277	0.0116284829257155	2.69132223305063	0.0359892508875138
"11"	0.117382093284123	0.0163325260440034	7.18701399696961	1.56488101338179e-07
"12"	0.0277045405485793	0.00405769147015381	6.82766069139532	1.21057996055533e-05
"13"	0.150329456440462	0.0330429914343385	4.54951110401702	0.000666742557237566
"14"	0.494906402008017	0.0573862038027877	8.62413557984777	1.20871155760878e-05
